"Opioid Inclusion Table - Finalized by HealthInsight. Revision Date  May 25, 2017",,,,,,,,,,,,,,
Exclude HTPP All,"Exclude HTPP Pill Ct (Measure part 1, part 2)",Exclude PIP All,NDC_Numeric,NDC,Product_Name,Generic_Drug_Name,Master_Form,Class,Drug,LongShortActing,DEAClassCode,Strength_Per_Unit,UOM,MME_Conversion_Factor
Excl,,Excl,42291017430,42291017430,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,42291017530,42291017530,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,43063018407,43063018407,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,43063018430,43063018430,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,49999039507,49999039507,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,49999039515,49999039515,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,49999039530,49999039530,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,50383028793,50383028793,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,50383029493,50383029493,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,52959030430,52959030430,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,52959074930,52959074930,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,53217013830,53217013830,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54123011430,54123011430,ZUBSOLV,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,11.40,MG,30
Excl,,Excl,54123091430,54123091430,ZUBSOLV,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,1.40,MG,30
Excl,,Excl,54123092930,54123092930,ZUBSOLV,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.90,MG,30
Excl,,Excl,54123095730,54123095730,ZUBSOLV,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,5.70,MG,30
Excl,,Excl,54123098630,54123098630,ZUBSOLV,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.60,MG,30
Excl,,Excl,54569549600,54569549600,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,54569573900,54569573900,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54569573901,54569573901,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54569573902,54569573902,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54569640800,54569640800,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868570700,54868570700,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868570701,54868570701,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868570702,54868570702,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868570703,54868570703,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868570704,54868570704,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54868575000,54868575000,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,55045378403,55045378403,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,55700018430,55700018430,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,55887031204,55887031204,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,55887031215,55887031215,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,60429058630,60429058630,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,60429058730,60429058730,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63629403401,63629403401,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63629403402,63629403402,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63629403403,63629403403,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63874108403,63874108403,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63874108503,63874108503,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,65162041503,65162041503,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,65162041603,65162041603,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,66336001530,66336001530,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,66336001630,66336001630,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,68071138003,68071138003,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,68071151003,68071151003,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,68258299903,68258299903,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
,Excl,,54309036,00054309036,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,87565041,00087565041,STADOL NS,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,378963943,00378963943,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,403479118,00403479118,STADOL NS,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,54569368100,54569368100,STADOL NS,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,54569598800,54569598800,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,54868320900,54868320900,STADOL NS,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,54868458300,54868458300,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,55175441601,55175441601,STADOL NS,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,58016483301,58016483301,BUTORPHANOL,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,59911594401,59911594401,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,Excl,,60505081301,60505081301,BUTORPHANOL TARTRATE,Butorphanol Tartrate,Spray,Opioid,Butorphanol,SA,4,10.00,MG/ML,7
,,,81035655,00081035655,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,81035675,00081035675,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,81036955,00081036955,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,81036975,00081036975,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,359054450,00359054450,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,16.20,MG,0.15
,,,359054550,00359054550,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,32.40,MG,0.15
,,,580003910,00580003910,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,32.40,MG,0.15
,,,35470001401,35470001401,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,15.00,MG,0.15
,,,35470037501,35470037501,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,35470390001,35470390001,A.P.C. W/CODEINE,A.P.C. W/Codeine,Tablet,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,86005510,00086005510,PHRENILIN W/CODEINE,Acetaminophen/Butalbital/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,31624261,00031624261,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,15.00,MG,0.15
,,,31624263,00031624263,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,15.00,MG,0.15
,,,31624270,00031624270,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,15.00,MG,0.15
,,,31625761,00031625761,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,31625763,00031625763,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,31625770,00031625770,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,31625772,00031625772,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,31627461,00031627461,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,31627463,00031627463,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,31627470,00031627470,PHENAPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,45052160,00045052160,TYLENOL W/CODEINE #3,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,45052179,00045052179,TYLENOL W/CODEINE #3,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,45052260,00045052260,TYLENOL W/CODEINE #3,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,45052279,00045052279,TYLENOL W/CODEINE #3,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,63107506,00063107506,PROVAL,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,63107508,00063107508,PROVAL,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,93015201,00093015201,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,93015205,00093015205,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,93017201,00093017201,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,93017205,00093017205,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,182172601,00182172601,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,182172605,00182172605,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
,,,182172701,00182172701,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,60.00,MG,0.15
,,,304143101,00304143101,ACETAMINOPHEN W/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,64.80,MG,0.15
,,,364070901,00364070901,ACETAMINOPHEN/CODEINE,Acetaminophen/Codeine Phosphate,Capsule,Opioid,Codeine,SA,3,30.00,MG,0.15
